,description
135,"As Alice and Cora Munro attempt to find their father, a British officer in the French and Indian War, they are set upon by French soldiers and their cohorts, Huron tribesmen led by the evil Magua. Fighting to rescue the women are Chingachgook and his son Uncas, the last of the Mohican tribe, and their white ally, the frontiersman Natty Bumppo, known as Hawkeye."
136,"Adrienne, the queen of the Frivolity Theater, is a self-centered vamp who steals other women's husbands. Her current conquest is Phillip Overman, and when Overman's wife pleads with the vamp to free her husband, Adrienne turns a deaf ear. Daisy, a chorine, is shocked by her colleague's callousness, but Adrienne asserts that she is only being practical. When she meets Pittsburgh millionaire Dave Wallace, Adrienne falls in love and casts Overman aside. Soon after their marriage, Adrienne learns that her husband is having an affair with Daisy, who is now the reigning queen of Broadway. She pleads with Daisy to release her husband, who responds by repeating the philosophy that Adrienne had given her. Despondently boarding a boat bound for Europe, Adrienne sees the Overmans, who are now happily reunited, and realizes the shallowness of her life."
137,"King Louis XIII of France is thrilled to have born to him a son - an heir to the throne. But when the queen delivers a twin, Cardinal Richelieu sees the second son as a potential for revolution, and has him sent off to Spain to be raised in secret to ensure a peaceful future for France. Alas, keeping the secret means sending Constance, lover of D'Artagnan, off to a convent. D'Artagnan hears of this and rallies the Musketeers in a bid to rescue her. Unfortunately, Richelieu out-smarts the Musketeers and banishes them forever."
138,"A nobleman vows to avenge the death of his father at the hands of pirates. To this end he infiltrates the pirate band. Acting in character he is instrumental in the capture of a ship, but things are complicated when he finds that there is a young woman on board whom he wishes to protect from the threat of rape."
139,"Two former WWI aces from opposite sides, Bill Ramsey and Otto Shumann, in the best tradition of Eddie Rickenbacker and the Red Baron, barnstorm their way across the Poverty Row skies of middle-America while competing for daredevil honors and the favors of the lovely Eve."
140,"Roland Dane finally retires to the house he was brought up in. Lost in thoughts of his lost love Lark, he does not want to be disturbed in his last days. However, the appearance of his niece and her subsequent romance with Lark's nephew causes him to reevaluate his life and offer some advice so the young couple doesn't make the same mistake he did, all those years ago."
141,A group of delinquents on their way to summer camp get stuck in a haunted house.
142,"In Panama, Maggie King meets soldier Skid Johnson on his last day in the army and reluctantly agrees to a date to celebrate. The two become involved in a nightclub brawl which causes Maggie to miss her ship back to the States. Now stranded, she's forced to move in with Skid and his pal Harry. She soon falls in love with Skid. Skid gets a job playing the trumpet at a local club and becomes a big success. Fame and fortune go to his head which eventually destroys his relationship Maggie and his career."
143,"A woman is married to the son of a doctor, the proprietor of a private sanatorium, where she is under unwilling treatment. Both the son and the doctor indicate they want the marriage dissolved. Arriving at the scene is a mysterious personage identified as the doctor's brother who formerly was a stage magician in Europe. He is accompanied by a threatening dwarf..."
144,Alice goes with her sister to a picnic and then she falls asleep and starts dreaming about a wonderland full of talking animals and walking playing cards.
145,"Tom Collier has had a great relationship with Daisy, but when he decides to marry, it is not Daisy whom he asks, it is Cecelia. After the marriage, Tom is bored with the social scene and the obligations of his life. He publishes books that will sell, not books that he wants to write. Even worse, he has his old friend working as a butler and Cecelia wants him fired. When Tom tries to get back together with Daisy to renew the feelings that he once felt, Daisy turns the tables on him and leaves to protect both of them.  Remade in 1946 as One More Tomorrow."
146,"A young woman, who wants to be in the Follies, is making ends meet by working at a department store's sheet music department, where she sings the latest hits. She is accompanied on piano by her childhood boyfriend, who is in love with her, despite her single-minded interest in her career. When a vaudeville performer asks her to join him as his new partner, she sees it as an opportunity to make her dream come true. Upon arriving in New York City, our heroine finds out that her new partner is only interested in sleeping with her and makes this a condition of making her a star. Soon, however, she is discovered by a representative of Ziegfeld."
147,"After one member of their group is murdered, the performers at a burlesque house must work together to find out who the killer is before they strike again."
148,"Mary Brooks' father, who has been studying ancient tribes, falls into the hands of ""the people of Zar, god of the Emerald Fingers."" Tarzan helps Mary locate her father, rescues everyone from the High Priest of Zar, and takes Mary to his cave."
